,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
272,Palm Cockatoo,Cacatuidae,Least Concern,Psittaciformes,unable to determine,SAMN12253926,PRJNA545868,Captive,"Captive bird, hence no coordinates",,,Unknown (199-),,VYZH00000000,,,USNM:615002,"SRR9947384, SRR9946815, SRR9946817, SRR9947073, SRR9947074, SRR9947075, SRR9947076, SRR9946702, SRR9946703",Male,,"National Museum of Natural History, Smithsonian Institution, USA",,missing,41.69,87.9,1.3,86.6,9233,29244,77691,105.0,6.9,31014402,2.92,5.2,1469,199564,14501,1061685338,GCA_013397665.1,ASM1339766v1,Probosciger aterrimus (palm cockatoo),Scaffold,105,32274.0,198462.0,male,Probosciger_aterrimus,False,0
273,Cape Sugarbird,Promeropidae,Least Concern,Passeriformes,monotypic,SAMN12253977,PRJNA545868,,"Coordinates approximate from locality information. Information from Jarvis et al. 2014 says Cowell County but Marcum Mountain is in Powell County, Montana.",South Africa,Overberg,,,VZSE00000000,34.38 S,20.53 E,,"SRR9853760, SRR9853761",,"Potberg, De Hoop Nature Reserve","Percy Fitzpatrick Institute of Ornithology, South Africa",Western Cape,missing,42.05,94.0,1.0,93.0,5388,56037,97734,55.0,3.7,7986987,0.76,2.3,240,1169420,51358,1046782811,GCA_013398275.1,ASM1339827v1,Promerops cafer (Cape sugarbird),Scaffold,55,128262.0,1179653.0,,Promerops_cafer,False,0
274,Brown Accentor,Prunellidae,Least Concern,Passeriformes,dahurica,SAMN12253912,PRJNA545868,,,Mongolia,,8-Jun-97,2600,VZTP00000000,47.88 N,98.88 E,UWBM:57993,"SRR9946704, SRR9946705, SRR9946708, SRR9946710, SRR9946711",Female,"Khukh Nuur, Hangayn Nuruu","Burke Museum of Natural History, University of Washington, USA",Dzavhan Aymag,missing,41.88,85.5,1.1,84.4,18587,14430,413150,49.0,7.4,53384495,5.04,7.1,2273,118479,191539,1060009018,GCA_013400715.1,ASM1340071v1,Prunella fulvescens (Brown accentor),Scaffold,49,26696.0,121881.0,female,Prunella_fulvescens,False,0
275,Altai Accentor,Prunellidae,Least Concern,Passeriformes,monotypic,SAMN12253920,PRJNA545868,,,Mongolia,,9-Jun-97,2600,VYZK00000000,47.53 N,98.53 E,USNM:616447,"SRR9946598, SRR9946599, SRR9946605, SRR9946606, SRR9946607, SRR9946608",Male,"Khukh Nuur, Hangayn Nuruu","National Museum of Natural History, Smithsonian Institution, USA",Dzavhan,muscle,41.67,93.6,0.9,92.7,8930,32414,63857,74.0,3.7,24915420,2.43,2.7,160,1828627,5620,1024611613,GCA_013398875.1,ASM1339887v1,Prunella himalayana (birds),Scaffold,74,38296.0,1815815.0,male,Prunella_himalayana,False,0
276,Groundpecker,Paridae,Least Concern,Passeriformes,monotypic,SAMN02981490,"PRJNA217046, PRJNA175930",,Coordinates not given in publication,China,,,,GCA_000331425.1,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Male,Qinghai-Tibetan Plateau,"Independently published, NCBI",,blood,41.69,95.6,1.1,94.5,1794,165265,26896,96.25,2.7,12967196,1.24,1.7,16,16337386,5405,1042980823,GCF_000331425.1,PseHum1.0,Pseudopodoces humilis (Tibetan ground-tit),Scaffold,96.25,165265.0,16337386.0,,Pseudopodoces_humilis,False,0
277,Coppersmith Barbet,Ramphastidae,Least Concern,Piciformes,haemacephalus,SAMN12253782,PRJNA545868,,,Philippines,Cagayan,12-May-89,,VWZI00000000,17.85 N,121.98 E,USNM:607367,"SRR10019896, SRR10019901, SRR9947262, SRR9947265",Female,"Baggao Mounicipality, Sitio Hot Springs, Barrio Via","National Museum of Natural History, Smithsonian Institution, USA",Luzon,muscle,44.38,90.4,0.9,89.5,15813,19583,329776,41.0,5.7,20798913,1.7,3.9,902,289549,192078,1223535639,GCA_013396835.1,ASM1339683v1,Psilopogon haemacephalus (birds),Scaffold,41,36269.0,297144.0,female,Psilopogon_haemacephalus,False,0
278,Grey-winged Trumpeter,Psophiidae,Near Threatened,Gruiformes,crepitans,SAMN12253810,PRJNA545868,,,Guyana,,3-Sep-98,250,VWZZ00000000,1.38 N,58.93 W,USNM:625105,"SRR9946949, SRR9946953, SRR9946954",Male,North Side Acari Mountains,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.73,93.4,0.7,92.7,8523,39065,102477,42.0,4.1,12774796,1.09,2.5,631,468317,36535,1172128290,GCA_013399095.1,ASM1339909v1,Psophia crepitans (common trumpeter),Scaffold,42,58160.0,468890.0,male,Psophia_crepitans,False,0
279,Burchell's Sandgrouse,Pteroclidae,Least Concern,Pterocliformes,makarikari,SAMN12253932,PRJNA545868,,,Namibia,,9-Aug-09,1200,VYZE00000000,23.85 S,19.56 E,USNM:642190,"SRR9947248, SRR9947249, SRR9947250, SRR9947251, SRR9947256",Unknown,Aminuis,"National Museum of Natural History, Smithsonian Institution, USA",Omaheke,muscle,41.85,94.1,0.9,93.2,8076,38837,55191,74.0,3.3,26652571,2.42,2.6,440,594480,6903,1101016664,GCA_013397535.1,ASM1339753v1,Pterocles burchelli (birds),Scaffold,74,43196.0,594480.0,,Pterocles_burchelli,False,0
280,Yellow-throated Sandgrouse,Pteroclidae,Least Concern,Pterocliformes,saturatior,SAMN02339892,PRJNA212906,Hatched wild in Tanzania,,Tanzania,,,,GCA_000699245.1,,,,SRP029347,Male,,Sharjah Breeding Center for Endangered Arabian Wildlife,,blood,41.46,85.0,0.6,84.4,18823,17085,196562,25.0,10.5,6961854,0.64,4.5,6264,49063,91611,1079547375,GCF_000699245.1,ASM69924v1,Pterocles gutturalis (yellow-throated sandgrouse),Scaffold,25,26448.0,49530.0,male,Pterocles_gutturalis,False,0
281,Black-eared Shrike-babbler,Vireonidae,Least Concern,Passeriformes,melanotis,SAMN12253969,PRJNA545868,,,China,Motuo county,10-Feb-14,1274,WEIY00000000,,,IOZ:19343,"SRR9946826, SRR9946833, SRR9946912, SRR9946970, SRR9946565, SRR9946572, SRR9946577, SRR9946579, SRR9946628",Male,,"Chinese Academy of Sciences, China",Xizang,missing,42.38,92.6,1.3,91.3,10639,28052,68340,52.0,3.4,17620196,1.68,4.0,151,2057470,5518,1046412600,GCA_013401235.1,ASM1340123v1,Pteruthius melanotis (birds),Scaffold,52,34184.0,1869218.0,male,Pteruthius_melanotis,False,0
282,Satin Bowerbird,Ptilonorhynchidae,Least Concern,Passeriformes,unable to determine,SAMN12253905,PRJNA545868,,,,,,,VZRJ00000000,,,UMD-RWG,"SRR9946899, SRR9946561, SRR9946562",Female,,"University of Maryland, USA",,blood,42.13,94.4,1.0,93.4,4056,71617,97590,46.0,3.4,8142406,0.77,2.2,232,1215016,49977,1061548254,GCA_013397565.1,ASM1339756v1,Ptilonorhynchus violaceus (satin bowerbird),Scaffold,46,120946.0,1215016.0,female,Ptilonorhynchus_violaceus,False,0
283,Spotted Jewel-babbler,Cinclosomatidae,Least Concern,Passeriformes,loriae,SAMN12253757,PRJNA545868,,,Papua New Guinea,,10-Oct-15,1700,VWYY00000000,5.76 S,145.19 E,NHMD:138661,"SRR9994325, SRR9994326, SRR9994327",Female,Denge Numbu,"Natural History Museum of Denmark, University of Copenhagen, Denmark",Madang Province,muscle,42.14,92.9,0.8,92.1,4208,64329,50387,66.0,3.8,75806103,6.83,3.3,222,1207954,11352,1110610154,GCA_013396485.1,ASM1339648v1,Ptilorrhoa leucosticta (birds),Scaffold,66,77643.0,1205068.0,female,Ptilorrhoa_leucosticta,False,0
284,Red-whiskered Bulbul,Pycnonotidae,Least Concern,Passeriformes,jocosus,SAMN12253855,PRJNA545868,,,USA,Honolulu,29-Mar-10,,VWYP00000000,21.32 N,157.95 W,USNM:643381,"SRR9946583, SRR9946584, SRR9946585, SRR9946586",Female,Hickham Air Force Base,"National Museum of Natural History, Smithsonian Institution, USA",Oahu Island,muscle,41.75,89.9,0.9,89.0,8999,31418,215486,48.0,5.9,7118940,0.69,4.2,1144,214665,142341,1035289814,GCA_013400435.1,ASM1340043v1,Pycnonotus jocosus (red-whiskered bulbul),Scaffold,48,53855.0,218123.0,female,Pycnonotus_jocosus,False,0
285,Adelie Penguin,Spheniscidae,Least Concern,Sphenisciformes,monotypic,SAMN02596601,PRJNA235983,,Coordinates approximate from locality information,Antartica,Ross Sea,,,GCA_000699105.1,,,No Banding Information,SRP035856,Male,Inexpressible Island,"Griffith University, Australia",,blood,41.61,93.3,0.6,92.7,18626,19136,199440,60.0,4.1,54160468,4.42,2.6,73,5047175,90746,1226103150,GCF_000699105.1,ASM69910v1,Pygoscelis adeliae (Adelie penguin),Scaffold,60,22195.0,5118896.0,male,Pygoscelis_adeliae,False,0
286,Great-tailed Grackle,Icteridae,Least Concern,Passeriformes,peruvianus,SAMN12253789,PRJNA545868,,Coordinates approximate from locality information,Panama,,18-Apr-90,,VWYF00000000,9.08 N,81.85 W,USNM:608021,"SRR9947037, SRR9946430",Female,"Punta Alegre, Peninsula Valiente","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,muscle,41.76,88.2,0.7,87.5,6116,45287,147841,54.0,7.3,5400039,0.52,4.5,2984,92463,104220,1047648627,GCA_013399035.1,ASM1339903v1,Quiscalus mexicanus (Great-tailed grackle),Scaffold,54,60532.0,93215.0,female,Quiscalus_mexicanus,False,0
287,Keel-billed Toucan,Ramphastidae,Least Concern,Piciformes,brevicarinatus,SAMN12253788,PRJNA545868,,Coordinates approximate from locality information,Panama,,5-Apr-90,,WBNM00000000,9.15 N,82.06 W,USNM:607736,"SRR9947324, SRR9947323, SRR9946431, SRR9946432, SRR9946433, SRR9946434, SRR9946435, SRR9946436",Female,"Cayo Agua, Near Punta Limon","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,muscle,44.04,85.6,1.0,84.6,22691,12365,407703,76.0,8.7,20727992,1.73,5.7,3275,83050,247521,1199351480,GCA_013399055.1,ASM1339905v1,Ramphastos sulfuratus (birds),Scaffold,76,38620.0,85980.0,female,Ramphastos_sulfuratus,False,0
288,Golden-crowned Kinglet,Regulidae,Least Concern,Passeriformes,satrapa,SAMN12253776,PRJNA545868,,,USA,Grayson,3-Jun-00,1676-1682,VWZN00000000,36.64 N,81.61 W,USNM:601552,"SRR9994370, SRR9994371, SRR9947111, SRR9947113",Female,"Whitetop, 2.5 mi N, 1 mi E; Jefferson National Forest, Mt Rogers National Rec. Area, Whitetop Mtn Summit","National Museum of Natural History, Smithsonian Institution, USA",Virginia,muscle,41.54,90.8,0.7,90.1,14954,18033,263503,50.0,5.0,20217981,1.98,4.2,731,357579,111055,1021078622,GCA_013396955.1,ASM1339695v1,Regulus satrapa (golden-crowned kinglet),Scaffold,50,28936.0,363229.0,female,Regulus_satrapa,False,0
289,Stripe-breasted Rhabdornis,Sturnidae,Least Concern,Passeriformes,grandis,SAMN12253787,PRJNA545868,,,Philippines,Cagayan,7-May-89,,VWZS00000000,17.83 N,122.02 E,USNM:607544,"SRR9947311, SRR9947313, SRR9947314",Female,"Baggao Municipality, Sitio Hot Springs, Barrio Via","National Museum of Natural History, Smithsonian Institution, USA",Luzon,muscle,41.66,94.3,0.8,93.5,4336,66235,101197,50.0,3.5,6521606,0.63,2.2,262,1033291,49538,1042126594,GCA_013397075.1,ASM1339707v1,Rhabdornis inornatus (birds),Scaffold,50,152176.0,1047454.0,female,Rhabdornis_inornatus,False,0
290,Wood Warbler,Phylloscopidae,Least Concern,Passeriformes,monotypic,SAMN12253847,PRJNA545868,,,Russia,Apsheronskiy Rayon,10-Jun-04,1185,VWYO00000000,44.19 N,40.08 E,USNM:640397,"SRR9946712, SRR9946716",Female,"Kamennomostskiy, 9 km S, 7 km W, at Serebryannyi Klyuch","National Museum of Natural History, Smithsonian Institution, USA",Krasnodarskiy Kray,muscle,41.79,91.7,0.7,91.0,13373,21839,218979,50.0,4.9,9440597,0.9,3.4,777,331107,113318,1053499693,GCA_013400275.1,ASM1340027v1,Rhadina sibilatrix (birds),Scaffold,50,38753.0,335188.0,female,Rhadina_sibilatrix,False,0
291,False Whistler,Rhagologidae,Least Concern,Passeriformes,obscurus,SAMN12253942,PRJNA545868,,,Papua New Guinea,,2-Aug-87,,VZTD00000000,9.07 S,148.13 E,NMV Z43546 / ANWC B24557,"SRR9947128, SRR9947114, SRR9947299, SRR9946814, SRR9946727",Male,Above Awoma Village,Museums Victoria / Australian National Wildlife Collection,Oro Province,muscle,42.29,95.2,0.8,94.4,3689,81347,65737,49.0,3.0,6451268,0.62,1.8,204,1433848,27236,1047313563,GCA_013397725.1,ASM1339772v1,Rhagologus leucostigma (birds),Scaffold,49,141346.0,1441581.0,male,Rhagologus_leucostigma,False,0
292,Greater Rhea,Rheidae,Near Threatened,Rheiformes,albescens,SAMN08476460,PRJNA433110,,Coordinates approximate from locality information,Argentina,,20-Sep-96,,PTEV00000000.1,,,ROM:MKP-2758,SRP136769,Male: Adult,Viedma,"Royal Ontario Museum, Canada",Rio Negro Province,blood,40.8,89.5,1.0,88.5,4963,68683,34298,60.0,6.6,14166470,1.22,3.9,78,3950085,2230,1160915584,GCA_003343005.1,rheAme1,Rhea americana (greater rhea),Scaffold,59.9,88762.0,3949999.0,male,Rhea_americana,False,0
293,Lesser Rhea,Rheidae,Least Concern,Rheiformes,unable to determine,SAMN08476461,PRJNA433110,,,,,1995,,PTJI00000000.1,,,Smithsonian National Zoo 206185; also referred to as NZPDB100-12,SRP136769,Male: Adult,,"Center for Conservation Genomics, National Zoological Park, Smithsonian Institution, USA",,liver,40.95,87.8,1.4,86.4,6209,55849,41300,42.0,6.3,15372777,1.31,5.9,88,3873207,3096,1174616351,GCA_003342835.1,rhePen1,Rhea pennata (lesser rhea),Scaffold,42.4,68142.0,3903569.0,male,Rhea_pennata,False,0
294,White-breasted Antbird,Thamnophilidae,Near Threatened,Passeriformes,monotypic,SAMN12253983,PRJNA545868,,Source coordinates originally flipped latitude/longitude.,Brazil,,,141,VZSN00000000,7.68 S,58.27 W,LSUMZ:B-78483,SRR9853715,Female,"left bank Juruena River, 30 km SSW Barra de SÃ£o Manoel, Reserva Bararati","Louisiana State University Museum of Natural Science, USA",Amazonas,liver,41.68,89.7,0.8,88.9,3419,73812,40871,151.0,3.9,4164667,0.44,6.4,25,11805716,2328,951650392,GCA_013398505.2,LSU_RhHo_2.0,Rhegmatorhina hoffmannsi (white-breasted antbird),Chromosome,141,24643.0,72802098.0,female,Rhegmatorhina_hoffmannsi,False,0
295,Common Scimitarbill,Phoeniculidae,Least Concern,Bucerotiformes,cyanomelas,SAMN12253851,PRJNA545868,,,Namibia,,11-Aug-09,1030,VXBP00000000,25.11 S,19.95 E,USNM:642342,"SRR9947240, SRR9947242, SRR9947243",Female,Viljoenskroon,"National Museum of Natural History, Smithsonian Institution, USA",Hardap,muscle,45.52,90.8,1.2,89.6,5805,45992,128480,51.0,5.5,6205279,0.62,3.7,623,411036,77971,1002017600,GCA_013400115.1,ASM1340011v1,Rhinopomastus cyanomelas (common scimitar-bill),Scaffold,51,114804.0,415862.0,female,Rhinopomastus_cyanomelas,False,0
296,Double-banded Courser,Glareolidae,Least Concern,Charadriiformes,africanus (?),SAMN12253852,PRJNA545868,,,Namibia,,30-Aug-09,1375,VXBO00000000,24.77 S,16.98 E,USNM:642451,"SRR9947236, SRR9947237, SRR9946737",Female,Airstrip North of Maltahohe,"National Museum of Natural History, Smithsonian Institution, USA",Hardap,muscle,42.17,92.0,1.0,91.0,11927,26960,194503,39.0,5.0,13755397,1.18,3.0,839,379031,82369,1161806796,GCA_013400135.1,ASM1340013v1,Rhinoptilus africanus (double-banded courser),Scaffold,39,52916.0,382637.0,female,Rhinoptilus_africanus,False,0
297,Bismarck Fantail,Rhipiduridae,Least Concern,Passeriformes,antonii,SAMN12253805,PRJNA545868,,,Papua New Guinea,,25-Jan-94,,VXAC00000000,4.45 S,152.93 E,USNM:616255,"SRR10019949, SRR10019950, SRR10019951, SRR9946650",Male,Hans Meyer Range,"National Museum of Natural History, Smithsonian Institution, USA",New Ireland Province,muscle,42.15,94.3,0.9,93.4,5630,53398,78665,49.0,3.5,4379576,0.43,2.2,360,788641,32210,1021725253,GCA_013399225.1,ASM1339922v1,Rhipidura dahli (birds),Scaffold,49,98056.0,789307.0,male,Rhipidura_dahli,False,0
298,Rosy Thrush Tanager,Rhodinocichlidae,Least Concern,Passeriformes,harterti,SAMN12253755,PRJNA545868,,,Panama,,14-Mar-96,,VWYZ00000000,9.06 N,79.60 W,LSUMZ:B-26906,"SRR9994329, SRR9994330, SRR9946575",Male,"Old Gamboa Rd., 5 km NW Paraiso, 9 degrees 32'20.0"" N, 79 degrees 57'08.2"" W","Louisiana State University Museum of Natural Science, USA",Panama,muscle,42.08,94.2,0.9,93.3,11434,24088,80951,67.0,3.3,28363541,2.75,2.5,102,2632112,5025,1031996577,GCA_013396575.1,ASM1339657v1,Rhodinocichla rosea (birds),Scaffold,67,29643.0,2545584.0,male,Rhodinocichla_rosea,False,0
299,Kagu,Rhynochetidae,Endangered,Eurypygiformes,monotypic,SAMN12253954,PRJNA545868,Captive,"Captive bird, hence no coordinates",,,,,VZRY00000000,,,OR4271,"SRR9947338, SRR9947343, SRR9947344, SRR9947345",Female,,"San Diego Zoo, USA",,muscle,42.99,94.1,0.8,93.3,8011,39933,104777,49.0,3.7,9409546,0.84,2.2,318,962318,34089,1119129701,GCA_013398095.1,ASM1339809v1,Rhynochetos jubatus (kagu),Scaffold,49,91152.0,965071.0,female,Rhynochetos_jubatus,False,0
300,Black-legged Kittiwake,Laridae,Vulnerable,Charadriiformes,unable to determine,SAMN12253991,PRJNA545868,,2 specimens sequenced from USA/Canada,USA (for mate-pair inidividual)/Canada (for shotgun library),,,,VZUC00000000,,,,"SRR9853752, SRR9853753, SRR9853754, SRR9853825",Female,Middleton Island (for mate-pair inidividual)/Prince Leopold Island (for shotgun library),"Friesen Lab, Queen's University, Canada",Alaska (for mate-pair inidividual)/Nunavut (for shotgun library),blood,42.95,90.9,0.9,90.0,6794,49827,614595,110.0,5.9,27856255,2.22,3.2,22,15326318,569752,1253770847,GCA_013401015.1,ASM1340101v1,Rissa tridactyla (black-legged kittiwake),Scaffold,110,54641.0,17652270.0,female,Rissa_tridactyla,False,0
301,Greater Painted-snipe,Rostratulidae,Least Concern,Charadriiformes,monotypic,SAMN12253888,PRJNA545868,,,Philippines,,26-Apr-89,,VXAI00000000,18.04 N,121.55 E,USNM:613014,"SRR9947320, SRR9947321, SRR9947325, SRR9947319, SRR9947326, SRR9947327",Female,"Luzon, Lasam Centro","National Museum of Natural History, Smithsonian Institution, USA",Cagayan,mixed tissue sample,41.98,94.3,1.2,93.1,4922,62805,39299,67.0,3.5,12212043,1.11,2.2,85,3413031,3501,1103099587,GCA_013399305.1,ASM1339930v1,Rostratula benghalensis (greater painted-snipe),Scaffold,67,78725.0,3398382.0,female,Rostratula_benghalensis,False,0
302,Black Skimmer,Laridae,Least Concern,Charadriiformes,cinerascens,SAMN12253840,PRJNA545868,,,Guyana,,22-Aug-06,100,VXBH00000000,2.97 N,58.59 W,USNM:637251,"SRR10019886, SRR10019895, SRR10019897",Female,lower Rewa River,"National Museum of Natural History, Smithsonian Institution, USA",Upper Takutu - Upper Essequibo,muscle,42.28,94.1,0.8,93.3,11784,28103,144301,39.0,3.8,12711811,1.08,2.1,633,520649,42920,1181396915,GCA_013400035.1,ASM1340003v1,Rynchops niger (black skimmer),Scaffold,39,57549.0,523074.0,female,Rynchops_niger,False,0
303,Secretary-bird,Sagittariidae,Vulnerable,Accipitriformes,monotypic,SAMN12253901,PRJNA545868,,Exact locality information unknown,,,27-Dec-98,,VWYJ00000000,,,USNM:587866,"SRR9946444, SRR9946446, SRR9946447, SRR9946449",Male,Locality unknown,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.45,76.6,0.6,76.0,13429,23119,267083,39.0,9.7,11921063,1.03,13.7,2280,126998,156714,1152594282,GCA_013399415.1,ASM1339941v1,Sagittarius serpentarius (hawks & eagles),Scaffold,39,36754.0,129671.0,male,Sagittarius_serpentarius,False,0
304,Glossy Antshrike,Thamnophilidae,Least Concern,Passeriformes,monotypic,SAMN12253769,PRJNA545868,,,Brazil,,8-Sep-86,,VWZD00000000,3.65 S,52.37 W,USNM:562277,"SRR9994354, SRR9994355, SRR9994356",Female,"Altamira, 52 km SSW, Island Mid-River Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,muscle,42.1,92.6,1.0,91.6,6469,43107,153211,45.0,4.5,12845297,1.18,2.9,468,560419,70433,1086118519,GCA_013396695.1,ASM1339669v1,Sakesphorus luctuosus (birds),Scaffold,45,84116.0,564384.0,female,Sakesphorus_luctuosus,False,0
305,Sapayoa,Sapayoidae,Least Concern,Passeriformes,monotypic,SAMN12253965,PRJNA545868,,Coordinates approximate from locality information,Panama,,16-Aug-82,,VZSY00000000,7.79 N,77.54 W,LSUMZ:B-2333,"SRR9947298, SRR9947061, SRR9946720, SRR9946418",Male,"Cana, 650 m","Louisiana State University Museum of Natural Science, USA",Dari‡n,muscle,41.71,90.4,1.1,89.3,5471,52071,42512,94.0,5.2,22187354,2.18,4.4,643,373295,9858,1015953747,GCA_013398745.1,ASM1339874v1,Sapayoa aenigma (broad-billed sapayoa),Scaffold,94,60157.0,363559.0,male,Sapayoa_aenigma,False,0
306,Eastern Stonechat,Muscicapidae,Least Concern,Passeriformes,maurus,SAMEA94256668,PRJEB19453,,,Kazakhstan,,12-May-93,,PRJEB19452(ENA Accession),,,UWBM:46478,ERP021490,Male,"Ili River, near Bakbaktii, Alma-Ata","Independently published, NCBI",Almaty Oblysy,missing,41.6,94.3,1.1,93.2,1900,146240,24176,,3.3,24422282,2.4,2.4,24,10017221,2819,1015875226,,,,,,,,,Saxicola_maurus,False,0
307,Tawny-throated Leaftosser,Scleruridae,Least Concern,Passeriformes,macconnelli,SAMN12253767,PRJNA545868,,,Brazil,,6-Sep-86,,VWZF00000000,3.65 S,52.37 W,USNM:541572,"SRR9946799, SRR9946800, SRR9946802",Female: Adult,"Altamira, 52 km SSW, E Bank Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,muscle,41.93,94.4,0.9,93.5,4357,66053,83797,46.0,3.3,8358801,0.8,2.3,287,1025074,32772,1049506723,GCA_013396755.1,ASM1339675v1,Sclerurus mexicanus (tawny-throated leaftosser),Scaffold,46,128486.0,1030170.0,female,Sclerurus_mexicanus,False,0
308,Hamerkop,Scopidae,Least Concern,Pelecaniformes,unable to determine,SAMN12253872,PRJNA545868,"Captive: Houston Zoo, died 19 January 1996","Captive bird, hence no coordinates",,,18-Dec-96,,VZTL00000000,,,LSUMZ:B-29000,"SRR9946755, SRR9946761, SRR9946762, SRR9946764",Unknown,died 19 January 1996,"Louisiana State University Museum of Natural Science, USA",,muscle,41.9,67.7,0.8,66.9,27267,10887,658718,54.0,14.3,13797959,1.22,18.0,9361,30689,514647,1131601075,GCA_013400535.1,ASM1340053v1,Scopus umbretta (hamerkop),Scaffold,54,16158.0,32357.0,,Scopus_umbretta,False,0
309,White-browed Tapaculo,Rhinocryptidae,Least Concern,Passeriformes,superciliaris,SAMN12253857,PRJNA545868,,,Argentina,,9-Nov-96,1900,VXBX00000000,26.95 S,65.67 W,USNM:645480,"SRR9946924, SRR9946926, SRR9946925",Female,"Tafi del Valle, 11 km S, 5 km E","National Museum of Natural History, Smithsonian Institution, USA",Tucuman Province,muscle,41.71,93.6,0.7,92.9,9412,31416,135194,43.0,4.0,12520576,1.18,2.4,442,627296,46063,1065488331,GCA_013400415.1,ASM1340041v1,Scytalopus superciliaris (birds),Scaffold,43,60031.0,632025.0,female,Scytalopus_superciliaris,False,0
310,Prong-billed Barbet,Ramphastidae,Least Concern,Piciformes,monotypic,SAMN12253798,PRJNA545868,,,Panama,,7-May-90,1100,VWYK00000000,8.64 N,82.21 W,USNM:613303,"SRR10019959, SRR10019960, SRR9946840",Male,"Los Planes, 23.3 Rd km N, On Gualaca-Chiriqui Grande Rd","National Museum of Natural History, Smithsonian Institution, USA",Chiriqui,muscle,44.23,56.4,0.4,56.0,43923,5964,696357,46.0,16.3,28660187,2.6,27.3,15292,15559,494102,1102024228,GCA_013399775.1,ASM1339977v1,Semnornis frantzii (birds),Scaffold,46,8608.0,16361.0,male,Semnornis_frantzii,False,0
311,Silver-breasted Broadbill,Eurylaimidae,Least Concern,Passeriformes,rubropygius,SAMN12253830,PRJNA545868,,,Myanmar,,12-Feb-01,528,VXBA00000000,27.50 N,97.80 E,USNM:631797,"SRR10019905, SRR10019906, SRR10019907",Male,"Naung Mung Township, near Naung Mung Village","National Museum of Natural History, Smithsonian Institution, USA",Kachin,muscle,41.35,93.5,0.9,92.6,5586,53783,75046,49.0,4.3,7617074,0.73,2.2,323,848428,29619,1042815171,GCA_013399895.1,ASM1339989v1,Serilophus lunatus (silver-breasted broadbill),Scaffold,49,89885.0,848514.0,male,Serilophus_lunatus,False,0
312,Atlantic Canary,Fringillidae,Least Concern,Passeriformes,monotypic,SAMEA3138919,"PRJNA236325, PRJEB1766",Captive,"Captive bird, hence no coordinates",,,,,GCA_000534875.1,,,,ERS610854,Female,,"Independently published, NCBI",,missing,42.46,93.8,0.8,93.0,5385,53379,345625,30.0,3.8,24865222,2.16,2.4,13,17815079,288530,1152100110,GCF_000534875.1,SCA1,Serinus canaria (Common canary),Scaffold,30,53884.0,17815079.0,,Serinus_canaria,False,0
313,Yellow-rumped Warbler,Parulidae,Least Concern,Passeriformes,coronata,SAMN05224218,PRJNA325157,,Coordinates approximate from locality information,Canada,,5-May,,GCA_001746935.1,,,,SRP081656,Male: Adult,Slave Lake,"Independently published, NCBI",Alberta,blood,41.76,87.5,1.1,86.4,39929,6792,464424,96.0,7.7,125947048,10.75,4.8,56,5523077,154686,1171929618,GCA_001746935.1,mywagenomev1.1,Setophaga coronata coronata (myrtle warbler),Scaffold,96,10785.0,5523077.0,male,Setophaga_coronata,False,0
314,Kirtland's Warbler,Parulidae,Near Threatened,Passeriformes,monotypic,SAMN12253801,PRJNA545868,,,USA,Oscoda,17-Aug-88,,VXAS00000000,44.58 N,84.07 W,USNM:613582,"SRR9947153, SRR9947154, SRR9947156",Female: Adult,"Mack Lake, 8 mi SSE Mio, Huron National Forest","National Museum of Natural History, Smithsonian Institution, USA",Michigan,muscle,42.04,92.5,0.9,91.6,7415,37098,292484,44.0,4.4,11293363,1.06,3.1,468,560646,200286,1066735798,GCA_013399655.1,ASM1339965v1,Setophaga kirtlandii (Kirtland's warbler),Scaffold,44,77437.0,583164.0,female,Setophaga_kirtlandii,False,0
